CA High School,Calculation1,City,County,Measure Names,Measure Values
A B MILLER HIGH SCHOOL,A B MILLER HIGH SCHOOL050944,Fontana,San Bernardino,Enrl GPA,3.819411765
A B MILLER HIGH SCHOOL,A B MILLER HIGH SCHOOL050944,Fontana,San Bernardino,Adm GPA,3.736388889
A B MILLER HIGH SCHOOL,A B MILLER HIGH SCHOOL050944,Fontana,San Bernardino,App GPA,3.608712871
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL051520,Los Angeles,Los Angeles,Enrl GPA,3.8608
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL051520,Los Angeles,Los Angeles,Adm GPA,3.82890625
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL051520,Los Angeles,Los Angeles,App GPA,3.676
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL052910,San Francisco,San Francisco,Enrl GPA,3.85175
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL052910,San Francisco,San Francisco,Adm GPA,3.801809524
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL052910,San Francisco,San Francisco,App GPA,3.527326203
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL053075,San Jose,Santa Clara,Enrl GPA,4.034
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL053075,San Jose,Santa Clara,Adm GPA,3.931458333
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL053075,San Jose,Santa Clara,App GPA,3.704285714
ACACIAWOOD SCHOOL,ACACIAWOOD SCHOOL050381,Anaheim,Orange,Enrl GPA,
ACACIAWOOD SCHOOL,ACACIAWOOD SCHOOL050381,Anaheim,Orange,Adm GPA,
ACACIAWOOD SCHOOL,ACACIAWOOD SCHOOL050381,Anaheim,Orange,App GPA,3.678
ACAD FOR ACADEMIC EXCELLENCE,ACAD FOR ACADEMIC EXCELLENCE050126,Apple Valley,San Bernardino,Enrl GPA,3.968333333
ACAD FOR ACADEMIC EXCELLENCE,ACAD FOR ACADEMIC EXCELLENCE050126,Apple Valley,San Bernardino,Adm GPA,4.045454545
ACAD FOR ACADEMIC EXCELLENCE,ACAD FOR ACADEMIC EXCELLENCE050126,Apple Valley,San Bernardino,App GPA,3.776111111
ACADEMIA AVANCE CHARTER SCHOOL,ACADEMIA AVANCE CHARTER SCHOOL054247,Los Angeles,Los Angeles,Enrl GPA,3.981666667
