CA High School,Calculation1,City,County,Measure Names,Measure Values
A B MILLER HIGH SCHOOL,A B MILLER HIGH SCHOOL050944,Fontana,San Bernardino,Enrollees,34
A B MILLER HIGH SCHOOL,A B MILLER HIGH SCHOOL050944,Fontana,San Bernardino,Admits,72
A B MILLER HIGH SCHOOL,A B MILLER HIGH SCHOOL050944,Fontana,San Bernardino,Applicants,101
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL051520,Los Angeles,Los Angeles,Enrollees,50
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL051520,Los Angeles,Los Angeles,Admits,64
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL051520,Los Angeles,Los Angeles,Applicants,90
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL052910,San Francisco,San Francisco,Enrollees,80
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL052910,San Francisco,San Francisco,Admits,105
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL052910,San Francisco,San Francisco,Applicants,187
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL053075,San Jose,Santa Clara,Enrollees,25
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL053075,San Jose,Santa Clara,Admits,48
ABRAHAM LINCOLN HIGH SCHOOL,ABRAHAM LINCOLN HIGH SCHOOL053075,San Jose,Santa Clara,Applicants,84
ACACIAWOOD SCHOOL,ACACIAWOOD SCHOOL050381,Anaheim,Orange,Enrollees,
ACACIAWOOD SCHOOL,ACACIAWOOD SCHOOL050381,Anaheim,Orange,Admits,3
ACACIAWOOD SCHOOL,ACACIAWOOD SCHOOL050381,Anaheim,Orange,Applicants,5
ACAD FOR ACADEMIC EXCELLENCE,ACAD FOR ACADEMIC EXCELLENCE050126,Apple Valley,San Bernardino,Enrollees,6
ACAD FOR ACADEMIC EXCELLENCE,ACAD FOR ACADEMIC EXCELLENCE050126,Apple Valley,San Bernardino,Admits,11
ACAD FOR ACADEMIC EXCELLENCE,ACAD FOR ACADEMIC EXCELLENCE050126,Apple Valley,San Bernardino,Applicants,18
ACADEMIA AVANCE CHARTER SCHOOL,ACADEMIA AVANCE CHARTER SCHOOL054247,Los Angeles,Los Angeles,Enrollees,6
ACADEMIA AVANCE CHARTER SCHOOL,ACADEMIA AVANCE CHARTER SCHOOL054247,Los Angeles,Los Angeles,Admits,6
ACADEMIA AVANCE CHARTER SCHOOL,ACADEMIA AVANCE CHARTER SCHOOL054247,Los Angeles,Los Angeles,Applicants,14
ACADEMIC LEADERSHIP COMMUNITY,ACADEMIC LEADERSHIP COMMUNITY054254,Los Angeles,Los Angeles,Enrollees,12
ACADEMIC LEADERSHIP COMMUNITY,ACADEMIC LEADERSHIP COMMUNITY054254,Los Angeles,Los Angeles,Admits,13
ACADEMIC LEADERSHIP COMMUNITY,ACADEMIC LEADERSHIP COMMUNITY054254,Los Angeles,Los Angeles,Applicants,19
ACADEMIES EDUCATION/EMPOWERMNT,ACADEMIES EDUCATION/EMPOWERMNT054617,Carson,Los Angeles,Enrollees,14
ACADEMIES EDUCATION/EMPOWERMNT,ACADEMIES EDUCATION/EMPOWERMNT054617,Carson,Los Angeles,Admits,18
ACADEMIES EDUCATION/EMPOWERMNT,ACADEMIES EDUCATION/EMPOWERMNT054617,Carson,Los Angeles,Applicants,25
ACADEMY ENVIRONMENTAL/SOC PLCY,ACADEMY ENVIRONMENTAL/SOC PLCY054437,Los Angeles,Los Angeles,Enrollees,5
ACADEMY ENVIRONMENTAL/SOC PLCY,ACADEMY ENVIRONMENTAL/SOC PLCY054437,Los Angeles,Los Angeles,Admits,7
ACADEMY ENVIRONMENTAL/SOC PLCY,ACADEMY ENVIRONMENTAL/SOC PLCY054437,Los Angeles,Los Angeles,Applicants,19
ACADEMY OF ARTS AND SCIENCES,ACADEMY OF ARTS AND SCIENCES054439,San Francisco,San Francisco,Enrollees,8
ACADEMY OF ARTS AND SCIENCES,ACADEMY OF ARTS AND SCIENCES054439,San Francisco,San Francisco,Admits,13
ACADEMY OF ARTS AND SCIENCES,ACADEMY OF ARTS AND SCIENCES054439,San Francisco,San Francisco,Applicants,19
ACADEMY OF CAREERS/EXPLORATION,ACADEMY OF CAREERS/EXPLORATION051123,Helendale,San Bernardino,Enrollees,
ACADEMY OF CAREERS/EXPLORATION,ACADEMY OF CAREERS/EXPLORATION051123,Helendale,San Bernardino,Admits,
ACADEMY OF CAREERS/EXPLORATION,ACADEMY OF CAREERS/EXPLORATION051123,Helendale,San Bernardino,Applicants,7
ACADEMY OF MEDICAL ARTS AT CARSON,ACADEMY OF MEDICAL ARTS AT CARSON054618,Carson,Los Angeles,Enrollees,5
ACADEMY OF MEDICAL ARTS AT CARSON,ACADEMY OF MEDICAL ARTS AT CARSON054618,Carson,Los Angeles,Admits,15
ACADEMY OF MEDICAL ARTS AT CARSON,ACADEMY OF MEDICAL ARTS AT CARSON054618,Carson,Los Angeles,Applicants,29
ACADEMY OF THE CANYONS,ACADEMY OF THE CANYONS053262,Santa Clarita,Los Angeles,Enrollees,15
ACADEMY OF THE CANYONS,ACADEMY OF THE CANYONS053262,Santa Clarita,Los Angeles,Admits,25
ACADEMY OF THE CANYONS,ACADEMY OF THE CANYONS053262,Santa Clarita,Los Angeles,Applicants,38
ACADEMY OF THE REDWOODS,ACADEMY OF THE REDWOODS054135,Eureka,Humboldt,Enrollees,5
ACADEMY OF THE REDWOODS,ACADEMY OF THE REDWOODS054135,Eureka,Humboldt,Admits,7
ACADEMY OF THE REDWOODS,ACADEMY OF THE REDWOODS054135,Eureka,Humboldt,Applicants,8
ACADEMY OUR LADY OF PEACE,ACADEMY OUR LADY OF PEACE052820,San Diego,San Diego,Enrollees,20
ACADEMY OUR LADY OF PEACE,ACADEMY OUR LADY OF PEACE052820,San Diego,San Diego,Admits,33
ACADEMY OUR LADY OF PEACE,ACADEMY OUR LADY OF PEACE052820,San Diego,San Diego,Applicants,68
ACALANES HIGH SCHOOL,ACALANES HIGH SCHOOL051315,Lafayette,Contra Costa,Enrollees,48
ACALANES HIGH SCHOOL,ACALANES HIGH SCHOOL051315,Lafayette,Contra Costa,Admits,102
ACALANES HIGH SCHOOL,ACALANES HIGH SCHOOL051315,Lafayette,Contra Costa,Applicants,151
ADOLFO CAMARILLO HIGH SCHOOL,ADOLFO CAMARILLO HIGH SCHOOL050438,Camarillo,Ventura,Enrollees,35
ADOLFO CAMARILLO HIGH SCHOOL,ADOLFO CAMARILLO HIGH SCHOOL050438,Camarillo,Ventura,Admits,61
ADOLFO CAMARILLO HIGH SCHOOL,ADOLFO CAMARILLO HIGH SCHOOL050438,Camarillo,Ventura,Applicants,98
ADRIAN C WILCOX HIGH SCHOOL,ADRIAN C WILCOX HIGH SCHOOL053276,Santa Clara,Santa Clara,Enrollees,44
ADRIAN C WILCOX HIGH SCHOOL,ADRIAN C WILCOX HIGH SCHOOL053276,Santa Clara,Santa Clara,Admits,75
ADRIAN C WILCOX HIGH SCHOOL,ADRIAN C WILCOX HIGH SCHOOL053276,Santa Clara,Santa Clara,Applicants,108
AGBU MANOOGIAN-DEMIRDJIAN SCH,AGBU MANOOGIAN-DEMIRDJIAN SCH050462,Canoga Park,Los Angeles,Enrollees,6
AGBU MANOOGIAN-DEMIRDJIAN SCH,AGBU MANOOGIAN-DEMIRDJIAN SCH050462,Canoga Park,Los Angeles,Admits,12
AGBU MANOOGIAN-DEMIRDJIAN SCH,AGBU MANOOGIAN-DEMIRDJIAN SCH050462,Canoga Park,Los Angeles,Applicants,27
