Academic Yr,CA  Residency,Student Level,% of Total Number of Records,Number of Records
2014,Nonresident International,Undergraduate,8.52%,16603
2014,Nonresident Domestic,Undergraduate,4.92%,9592
2014,CA Resident,Undergraduate,86.55%,168617
2013,Nonresident International,Undergraduate,7.14%,13419
2013,Nonresident Domestic,Undergraduate,4.43%,8335
2013,CA Resident,Undergraduate,88.43%,166254
2012,Nonresident International,Undergraduate,5.48%,10036
2012,Nonresident Domestic,Undergraduate,3.76%,6893
2012,CA Resident,Undergraduate,90.76%,166269
2011,Nonresident International,Undergraduate,4.00%,7250
2011,Nonresident Domestic,Undergraduate,3.34%,6057
2011,CA Resident,Undergraduate,92.66%,167890
2010,Nonresident International,Undergraduate,2.95%,5290
2010,Nonresident Domestic,Undergraduate,2.98%,5333
2010,CA Resident,Undergraduate,94.07%,168622
2009,Nonresident International,Undergraduate,2.41%,4278
2009,Nonresident Domestic,Undergraduate,2.97%,5274
2009,CA Resident,Undergraduate,94.62%,167901
2008,Nonresident International,Undergraduate,2.14%,3690
2008,Nonresident Domestic,Undergraduate,3.07%,5310
2008,CA Resident,Undergraduate,94.79%,163774
2007,Nonresident International,Undergraduate,1.85%,3090
2007,Nonresident Domestic,Undergraduate,3.10%,5182
2007,CA Resident,Undergraduate,95.06%,159055
